0:0:0:0:0:0:0:1 - - [31/Aug/2023:18:09:18 +0900] "GET /lounge_list.do HTTP/1.1" 200 10462
0:0:0:0:0:0:0:1 - - [31/Aug/2023:18:09:18 +0900] "GET /resources/js/jquery-3.6.3.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [31/Aug/2023:18:14:11 +0900] "GET /dogfooddisplay.do HTTP/1.1" 200 16150
0:0:0:0:0:0:0:1 - - [31/Aug/2023:18:14:11 +0900] "GET /resources/images/list_banner/listbanner_food.png HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [31/Aug/2023:18:14:11 +0900] "GET /resources/images/home/mainlogo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Aug/2023:18:14:11 +0900] "GET /resources/images/list_banner/minibanner_eduexplain.png HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [31/Aug/2023:18:14:12 +0900] "GET /resources/images/list_banner/minibanner_eduexplain.png HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [31/Aug/2023:18:14:18 +0900] "GET /dogfooddisplay.do HTTP/1.1" 200 16150
0:0:0:0:0:0:0:1 - - [31/Aug/2023:18:14:18 +0900] "GET /resources/images/list_banner/listbanner_food.png HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [31/Aug/2023:18:14:18 +0900] "GET /resources/images/list_banner/minibanner_eduexplain.png HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [31/Aug/2023:18:14:21 +0900] "GET /ogudoctormaindisplay.do HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [31/Aug/2023:18:15:02 +0900] "GET /dogfooddisplay.do HTTP/1.1" 200 16150
0:0:0:0:0:0:0:1 - - [31/Aug/2023:18:15:02 +0900] "GET /resources/images/list_banner/listbanner_food.png HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [31/Aug/2023:18:15:02 +0900] "GET /resources/images/list_banner/minibanner_eduexplain.png HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [31/Aug/2023:18:15:04 +0900] "GET /ogudoctormaindisplay.do HTTP/1.1" 200 6701
0:0:0:0:0:0:0:1 - - [31/Aug/2023:18:15:04 +0900] "GET /resources/images/home/footer_image.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Aug/2023:18:15:04 +0900] "GET /resources/images/home/mainbanner_ogudoctor.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Aug/2023:18:15:19 +0900] "GET /ogu_dog_categorydisplay.do HTTP/1.1" 200 13015
0:0:0:0:0:0:0:1 - - [31/Aug/2023:18:15:19 +0900] "GET /resources/images/page_banner/listbanner_ogudoctor.png HTTP/1.1" 200 70605
0:0:0:0:0:0:0:1 - - [31/Aug/2023:18:15:19 +0900] "GET /resources/images/ogudoctor/self_category/stool.png HTTP/1.1" 200 5466
0:0:0:0:0:0:0:1 - - [31/Aug/2023:18:15:19 +0900] "GET /resources/images/ogudoctor/self_category/urine.png HTTP/1.1" 200 5558
0:0:0:0:0:0:0:1 - - [31/Aug/2023:18:15:19 +0900] "GET /resources/images/ogudoctor/self_category/meal.png HTTP/1.1" 200 6136
0:0:0:0:0:0:0:1 - - [31/Aug/2023:18:15:19 +0900] "GET /resources/images/ogudoctor/self_category/vomit.png HTTP/1.1" 200 6135
0:0:0:0:0:0:0:1 - - [31/Aug/2023:18:15:19 +0900] "GET /resources/images/ogudoctor/self_category/ear.png HTTP/1.1" 200 6425
0:0:0:0:0:0:0:1 - - [31/Aug/2023:18:15:19 +0900] "GET /resources/images/ogudoctor/self_category/face_dog.png HTTP/1.1" 200 10251
0:0:0:0:0:0:0:1 - - [31/Aug/2023:18:15:19 +0900] "GET /resources/images/ogudoctor/self_category/eye.png HTTP/1.1" 200 6375
0:0:0:0:0:0:0:1 - - [31/Aug/2023:18:15:19 +0900] "GET /resources/images/ogudoctor/self_category/paw.png HTTP/1.1" 200 7124
0:0:0:0:0:0:0:1 - - [31/Aug/2023:18:15:19 +0900] "GET /resources/images/ogudoctor/self_category/joint.png HTTP/1.1" 200 5919
0:0:0:0:0:0:0:1 - - [31/Aug/2023:18:15:19 +0900] "GET /resources/images/ogudoctor/self_category/skin.png HTTP/1.1" 200 7427
0:0:0:0:0:0:0:1 - - [31/Aug/2023:18:15:19 +0900] "GET /resources/images/ogudoctor/self_category/tooth.png HTTP/1.1" 200 8980
0:0:0:0:0:0:0:1 - - [31/Aug/2023:18:15:19 +0900] "GET /resources/images/ogudoctor/self_category/breath.png HTTP/1.1" 200 9540
0:0:0:0:0:0:0:1 - - [31/Aug/2023:18:15:19 +0900] "GET /resources/images/ogudoctor/self_category/genitals_dog.png HTTP/1.1" 200 12603
